type,City,dist,address,p_name,tArea,h_age,p_price,p_lot,c_price,func,bath,room,Fl,tFl,date,Year
presale,Taipei,萬華,興義街17號,城西蒔光,45.77,0,75,1,265.0,住商用,2,3,12,15,2024-06-30,2024
presale,Taipei,松山,吉祥里南京東路五段,鐫萃,43.27,0,160,0,,住家用,2,2,4,24,2024-06-30,2024
presale,Taipei,松山,八德路四段５９９號,松捷樂,17.48,0,105,0,,住家用,0,0,13,13,2024-06-30,2024
presale,Taipei,北投,建民里承德路六段,士科潤山 ,26.73,0,114,0,,住家用,2,2,4,18,2024-06-30,2024
presale,Taipei,信義,基隆路二段２３號旁,華誼信義-閱翠 ,16.98,0,173,0,,住家用,1,1,9,24,2024-06-30,2024
presale,Taipei,北投,雙全街8號,品嘉-箴品序 ,26.7,0,87,0,,住商用,1,2,17,18,2024-06-30,2024
presale,Taipei,北投,雙全街8號,品嘉-箴品序 ,18.14,0,82,0,,住商用,1,1,11,18,2024-06-30,2024
presale,Taipei,南港,三重里南港路一段20之1號,國協天玥 ,23.04,0,134,0,,住家用,1,2,12,18,2024-06-30,2024
presale,Taipei,中山,長春路285號,恆合鈺璽 ,35.49,0,132,1,230.0,住家用,1,2,13,15,2024-06-30,2024
presale,Taipei,大安,樂業街94巷,全坤御峰 ,51.7,0,138,1,340.0,住家用,2,3,15,16,2024-06-30,2024
presale,Taipei,信義,基隆路一段,吉祥．如藝 ,24.92,0,145,0,,住家用,1,2,16,23,2024-06-30,2024
presale,Taipei,信義,基隆路一段,吉祥．如藝 ,44.03,0,141,1,395.0,住家用,2,3,16,23,2024-06-30,2024
presale,Taipei,大安,古風里泰順街62巷(與辛亥路一段77巷巷口),文与堂 ,70.92,0,161,1,800.0,住家用,2,3,18,21,2024-06-30,2024
presale,Taipei,北投,中和街251號1樓,玖原和美 ,34.91,0,86,0,,住家用,2,3,5,15,2024-06-30,2024
presale,Taipei,北投,洲美里福善路,士科大院. ,34.68,0,104,1,290.0,住家用,2,2,3,22,2024-06-30,2024
presale,Taipei,北投,洲美里福善路,士科大院. ,61.75,0,98,1,310.0,住家用,3,3,4,22,2024-06-30,2024
presale,Taipei,士林,至善路一段116巷旁,璞真上善,71.49,0,113,1,330.0,住家用,3,3,6,10,2024-06-29,2024
presale,Taipei,內湖,成功路146號旁,碧湖海川 ,36.27,0,94,1,200.0,住家用,2,2,5,13,2024-06-29,2024
presale,Taipei,北投,建民里承德路六段,士科潤山 ,51.28,0,115,1,340.0,住家用,2,3,8,18,2024-06-29,2024
presale,Taipei,北投,建民里承德路六段,士科潤山 ,51.24,0,118,1,330.0,住家用,2,3,12,18,2024-06-29,2024
presale,Taipei,中正,和平西路二段135號,恆悅植心苑 ,21.91,0,109,0,,住家用,2,2,3,14,2024-06-29,2024
presale,Taipei,南港,昆陽街,豐琚 ,50.57,0,125,1,335.0,住商用,2,3,3,14,2024-06-29,2024
presale,Taipei,南港,昆陽街,豐琚 ,23.78,0,123,0,,住商用,1,2,4,14,2024-06-29,2024
presale,Taipei,南港,昆陽街,豐琚 ,40.82,0,126,1,305.0,住商用,1,2,2,14,2024-06-29,2024
presale,Taipei,南港,昆陽街,豐琚 ,24.02,0,132,0,,住商用,1,2,12,14,2024-06-29,2024
presale,Taipei,南港,昆陽街,豐琚 ,47.11,0,126,1,305.0,住商用,2,3,4,14,2024-06-29,2024
presale,Taipei,南港,昆陽街,豐琚 ,23.77,0,122,0,,住商用,1,2,2,14,2024-06-29,2024
presale,Taipei,北投,建民里文承路,新潤潤心 ,52.5,0,120,1,310.0,住家用,2,3,10,12,2024-06-29,2024
presale,Taipei,北投,建民里文承路,新潤潤心 ,52.5,0,117,1,300.0,住家用,2,3,3,12,2024-06-29,2024
presale,Taipei,北投,雙全街8號,品嘉-箴品序 ,18.14,0,83,0,,住商用,1,1,12,18,2024-06-29,2024
presale,Taipei,北投,雙全街8號,品嘉-箴品序 ,14.95,0,97,0,,住商用,1,1,16,18,2024-06-29,2024
presale,Taipei,北投,雙全街8號,品嘉-箴品序 ,40.91,0,92,0,,住商用,1,1,16,18,2024-06-29,2024
presale,Taipei,南港,聯成里東新街77巷15弄1號2樓,沐松琚 ,35.39,0,120,1,340.0,住家用,1,2,4,15,2024-06-29,2024
presale,Taipei,南港,聯成里東新街77巷15弄1號2樓,沐松琚 ,47.43,0,122,1,320.0,住家用,2,3,3,15,2024-06-29,2024
presale,Taipei,南港,三重里南港路一段20之1號,國協天玥 ,46.26,0,116,1,305.0,住家用,2,3,5,18,2024-06-29,2024
presale,Taipei,南港,三重里南港路一段20之1號,國協天玥 ,22.94,0,130,0,,住家用,1,2,3,18,2024-06-29,2024
presale,Taipei,大安,樂業街94巷,全坤御峰 ,67.39,0,131,1,660.0,住家用,2,4,14,16,2024-06-29,2024
