id,Address,Response_Address,Response_X,Response_Y
0,臺北市萬華區康定路84號,臺北市萬華區菜園里12鄰康定路84號,121.502230,25.041989
1,臺北市信義區信義路五段57號,臺北市信義區安康里9鄰信義路五段57號,121.569432,25.033321
2,臺北市士林區文林路號,臺北市士林區仁勇里1鄰文林路12號;臺北市士林區仁勇里1鄰文林路16號;臺北市士林區仁勇里1鄰文林路18號;臺北市士林區仁勇里1鄰文林路20號;臺北市士林區仁勇里1鄰文林路24號;臺北市士林區義信里1鄰文林路25號;臺北市士林區義信里1鄰文林路27號;臺北市士林區義信里1鄰文林路29號;臺北市士林區仁勇里1鄰文林路30號;臺北市士林區仁勇里1鄰文林路32之1號,121.525538;121.525533;121.525546;121.525561;121.525587;121.525154;121.525184;121.525223;121.525606;121.525764,25.086369;25.086410;25.086434;25.086458;25.086503;25.086319;25.086380;25.086435;25.086535;25.086653
3,臺北市內湖區文德段二小段 602-3地號,臺北市內湖區湖元里18鄰新湖二路1之1號;臺北市內湖區西湖里13鄰基湖路1之1號;臺北市內湖區西湖里13鄰基湖路1之2號;臺北市內湖區湖元里18鄰新湖二路1之2號;臺北市內湖區碧山里14鄰碧山路2之1號;臺北市內湖區湖元里18鄰行忠路2之1號;臺北市內湖區西康里8鄰文湖街2之1號;臺北市內湖區碧山里14鄰碧山路2之2號;臺北市內湖區碧山里14鄰碧山路2之3號;臺北市內湖區碧山里14鄰碧山路2之5號,121.573460;121.565535;121.565507;121.573472;121.591318;121.576984;121.560545;121.591015;121.591066;121.591037,25.060168;25.081576;25.081478;25.060092;25.086483;25.064992;25.085819;25.086908;25.087126;25.087201
4,臺北市中山區長安東路一段52巷號,臺北市中山區正守里9鄰長安東路一段52巷2號;臺北市中山區正守里8鄰長安東路一段52巷3號;臺北市中山區正守里8鄰長安東路一段52巷3之1號;臺北市中山區正守里8鄰長安東路一段52巷3之2號;臺北市中山區正守里9鄰長安東路一段52巷4號;臺北市中山區正守里8鄰長安東路一段52巷5號;臺北市中山區正守里9鄰長安東路一段52巷6號;臺北市中山區正守里9鄰長安東路一段52巷8號;臺北市中山區正守里9鄰長安東路一段52巷8之1號;臺北市中山區正守里12鄰長安東路一段52巷10號,121.527953;121.528126;121.528173;121.528167;121.527934;121.528009;121.527917;121.527900;121.527878;121.527835,25.048061;25.048026;25.047985;25.047953;25.047998;25.047552;25.047962;25.047943;25.047965;25.047751
5,臺北市文山區景後街及景文街103巷交叉口,臺北市文山區景行里22鄰景後街149巷3號;臺北市文山區景行里22鄰景後街143巷4號;臺北市文山區景行里21鄰景後街105巷4號;臺北市文山區景行里21鄰景後街105巷5號;臺北市文山區景行里22鄰景後街149巷5號;臺北市文山區景行里22鄰景後街143巷6號;臺北市文山區景行里22鄰景後街149巷7號;臺北市文山區景行里21鄰景後街105巷7號;臺北市文山區景行里22鄰景後街143巷10號;臺北市文山區景行里22鄰景後街143巷12號,121.542272;121.542506;121.542951;121.542739;121.542323;121.542550;121.542402;121.542805;121.542580;121.542614,24.990209;24.990347;24.991070;24.991237;24.990195;24.990314;24.990174;24.991216;24.990300;24.990286
6,臺北市大安區復興南路一段175號,臺北市大安區仁愛里1鄰復興南路一段175號,121.543980,25.040911
7,臺北市大安區瑞安街155巷號,臺北市大安區龍生里13鄰瑞安街155巷2號;臺北市大安區龍生里13鄰瑞安街155巷4號;臺北市大安區龍生里13鄰瑞安街155巷6號;臺北市大安區龍生里13鄰瑞安街155巷8號;臺北市大安區龍生里13鄰瑞安街155巷10號;臺北市大安區龍生里11鄰瑞安街155巷11號,121.539295;121.539383;121.539537;121.539610;121.539722;121.539548,25.025974;25.025962;25.025935;25.025925;25.025935;25.026071
8,臺北市北投區中央南路二段14號,臺北市北投區八仙里4鄰中央南路二段14之2號,121.500220,25.126902
9,臺北市文山區興隆段三小段511地號,臺北市文山區萬芳里5鄰萬安街1之1號;臺北市文山區試院里3鄰試院路1之1號;臺北市文山區試院里3鄰試院路1之2號;臺北市文山區萬芳里5鄰萬安街1之2號;臺北市文山區萬芳里5鄰萬安街1之3號;臺北市文山區試院里3鄰試院路1之3號;臺北市文山區萬芳里5鄰萬安街1之4號;臺北市文山區萬芳里5鄰萬安街1之5號;臺北市文山區萬芳里5鄰萬安街1之6號;臺北市文山區明義里4鄰木柵路二段1之6號,121.570696;121.548953;121.548711;121.570694;121.570694;121.549150;121.570849;121.570849;121.570851;121.558723,25.002051;24.987940;24.988669;25.001919;25.001847;24.987642;25.001850;25.001994;25.002054;24.988923
