,建案名稱,地址
0,30創富,臺北市萬華區康定路84號
1,55 TIMELESS,臺北市信義區信義路五段57號
2,????·??????? 資,臺北市士林區文林路號
3,?DC,臺北市內湖區文德段二小段 602-3、603-9、603-20、610、611、612-6、612-7、612-8 地號
4,?山 資,臺北市中山區長安東路一段52巷號
5,?美,臺北市文山區景後街、景文街103巷交叉口號
6,BR4,臺北市大安區復興南路一段175號
7,Forest Park 吉美富徠,臺北市大安區瑞安街155巷號
8,H24雲端,臺北市北投區中央南路二段14號
9,JR羅斯福,臺北市文山區興隆段三小段511地號
10,LIVING MORE,臺北市中山區中山北路二段59巷B01號
11,Living More,臺北市中山區中山北路二段59巷C09號
12,MAGNOLIA 木蘭居B座,臺北市北投區天母西路117巷32弄5號
13,MAGNOLIA 木蘭居C座,臺北市北投區天母西路117巷32弄(B-04F)號
14,ONE+,臺北市內湖區康寧路三段187號
15,THE GREENHOUSE,臺北市中山區圓山里中山北路三段號
16,TWIN LINE,臺北市中山區遼寧街105巷36號
17,Vigorlin 東門 資,臺北市中正區信義路2段79巷32號
18,Vigorlin東門 資,臺北市中正區信義路2段79巷32號
19,一心居 資,臺北市北投區中和里中和街391巷2弄號
20,一方璞真,臺北市松山區敦化北路4巷25弄(A-2F)號
21,一樹巷,臺北市北投區中和里大屯路7巷C戶號
22,一豐洲,臺北市北投區奇岩路209巷旁B1棟5樓號
23,一青。悠,臺北市北投區溫泉路67號
24,一青。悠 資,臺北市北投區溫泉路67號
25,一頁城中,臺北市中正區衡陽路69號
26,三創爵鼎,臺北市大安區市民大道三段92號
27,三悉-磊若,臺北市中山區金泰段122、122-1地號
28,三悉-風昀,臺北市中山區金泰段119-2、119-3地號
29,三發景悅,臺北市北投區奇岩路A2/4+5F號
30,三磐舍紫II,臺北市士林區社中街號
31,三豐AIT 資,臺北市內湖區康寧路一段175巷號
32,三豐長安匯,臺北市大同區市府段二小段0367-0000號
33,三豐雲迪 資,臺北市大同區大有里歸綏街210號
34,上城若水,臺北市中山區市民大道三段5號
35,上城若水 資,臺北市中山區正守里市民大道三段5號
36,世心玉 資,臺北市中山區長安東路一段24-3號
37,世田安,臺北市中山區松江路45巷號
38,世界明珠,臺北市南港區南港路二段51號
39,世豐是山,臺北市北投區清江里磺港路C-13F號
40,世達懿居 資,臺北市中正區南昌路二段號
41,中國開發內湖洲子街廠辦大樓案 資,臺北市內湖區洲子街號
42,中山Q1,臺北市中山區民權東路一段61-1號
43,中山TED,臺北市中山區中山北路二段A3戶6樓號
