p_name,Address,Response_Address,x,y
30創富,臺北市萬華區菜園里12鄰康定路84號,臺北市萬華區菜園里12鄰康定路84號,121.50223,25.041989
55TIMELESS,臺北市信義區安康里9鄰信義路五段57號,臺北市信義區安康里9鄰信義路五段57號,121.569432,25.033321
BR4,臺北士林區舊佳里文林路584號,臺北市士林區舊佳里22鄰文林路582號,121.523874,25.098205
ForestPark吉美富徠,臺北市內湖區江南街65巷25號之1,臺北市內湖區港墘里5鄰江南街65巷25之1號,121.578142,25.077096
H24雲端,臺北市中山區正守里12鄰長安東路一段52巷10號,臺北市中山區正守里12鄰長安東路一段52巷10號,121.527835,25.047751
JR羅斯福,臺北市文山區景行里22鄰景後街143巷12號,臺北市文山區景行里22鄰景後街143巷12號,121.542614,24.990286
LIVINGMORE,臺北市大安區仁愛里1鄰復興南路一段175號,臺北市大安區仁愛里1鄰復興南路一段175號,121.54398,25.040911
LivingMore,臺北市大安區龍生里11鄰瑞安街155巷11號,臺北市大安區龍生里11鄰瑞安街155巷11號,121.539548,25.026071
MAGNOLIA木蘭居B座,臺北市北投區八仙里4鄰中央南路二段14之2號,臺北市北投區八仙里4鄰中央南路二段14之2號,121.50022,25.126902
MAGNOLIA木蘭居C座,臺北市文山區萬盛街89號,臺北市文山區萬盛里12鄰萬盛街89號,121.542631,25.005586
ONE+,臺北市中山區中山里4鄰中山北路二段59巷1號,臺北市中山區中山里4鄰中山北路二段59巷1號,121.523176,25.055916
THEGREENHOUSE,臺北市中山區中山里4鄰中山北路二段59巷9號,臺北市中山區中山里4鄰中山北路二段59巷9號,121.523621,25.055907
TWINLINE,臺北市北投區永欣里6鄰天母西路117巷32弄5號,臺北市北投區永欣里6鄰天母西路117巷32弄5號,121.524705,25.120536
Vigorlin東門,臺北市北投區永欣里6鄰天母西路117巷32弄8號,臺北市北投區永欣里6鄰天母西路117巷32弄8號,121.524272,25.120018
一心居,臺北市內湖區明湖里10鄰康寧路三段187號,臺北市內湖區明湖里10鄰康寧路三段187號,121.611974,25.06997
一方璞真,臺北市中山區中山北路三段53號,臺北市中山區圓山里13鄰中山北路三段53號,121.522891,25.067716
一樹巷,臺北市中山區力行里19鄰遼寧街105巷36號,臺北市中山區力行里19鄰遼寧街105巷36號,121.543064,25.051079
一豐洲,臺北市中正區文祥里14鄰信義路二段79巷32號,臺北市中正區文祥里14鄰信義路二段79巷32號,121.526984,25.035976
一青。悠,臺北市北投區中和里2鄰中和街391巷2弄9號,臺北市北投區中和里2鄰中和街391巷2弄9號,121.497879,25.142645
一頁城中,臺北市松山區中正里8鄰敦化北路4巷25弄18號,臺北市松山區中正里8鄰敦化北路4巷25弄18號,121.546289,25.049724
三創爵鼎,臺北市北投區中和里10鄰大屯路7巷11之1號,臺北市北投區中和里10鄰大屯路7巷11之1號,121.499598,25.142325
三悉-磊若,臺北市北投區奇岩里8鄰奇岩路210號,臺北市北投區奇岩里8鄰奇岩路210號,121.508644,25.128347
三悉-風昀,臺北市北投區溫泉里19鄰溫泉路68之10號,臺北市北投區溫泉里19鄰溫泉路68之10號,121.504909,25.134969
三發景悅,臺北市中正區光復里8鄰衡陽路69號,臺北市中正區光復里8鄰衡陽路69號,121.511767,25.042377
三磐舍紫II,臺北市大安區民輝里19鄰市民大道三段118號,臺北市大安區民輝里19鄰市民大道三段118號,121.533959,25.044947
三豐AIT,臺北市中山區樂群二路66號,臺北市中山區成功里14鄰樂群二路66號,121.554073,25.07973
三豐長安匯,臺北市中山區樂群二路66號,臺北市中山區成功里14鄰樂群二路66號,121.554073,25.07973
三豐雲迪,臺北市北投區奇岩路237號,臺北市北投區奇岩里22鄰奇岩路237號,121.509946,25.127903
上城若水,臺北市士林區社中街335號,臺北市士林區永倫里4鄰社中街335號,121.504414,25.092191
世心玉,臺北市內湖區紫雲里3鄰康寧路一段179號,臺北市內湖區紫雲里3鄰康寧路一段179號,121.595763,25.078519
世田安,臺北市大同區大有里18鄰民生西路367號,臺北市大同區大有里18鄰民生西路367號,121.510486,25.057005
世界明珠,臺北市大同區大有里19鄰歸綏街208之1號,臺北市大同區大有里19鄰歸綏街208之1號,121.511036,25.058192
世豐是山,臺北市中山區正守里1鄰市民大道三段5號,臺北市中山區正守里1鄰市民大道三段5號,121.53127,25.04613
世達懿居,臺北市中山區正守里10鄰長安東路一段24之3號,臺北市中山區正守里10鄰長安東路一段24之3號,121.525688,25.048781
中國開發內湖洲子街廠辦大樓案,臺北市中山區朱園里15鄰松江路45巷10號,臺北市中山區朱園里15鄰松江路45巷10號,121.533591,25.047889
中山Q1,臺北市南港區東明里2鄰南港路二段59號,臺北市南港區東明里2鄰南港路二段59號,121.598849,25.053477
中山TED,臺北市北投區磺港路102-110號,臺北市北投區清江里5鄰磺港路102號,121.503496,25.130416
中山世紀,臺北市中正區和平西路一段63號,臺北市中正區南福里10鄰和平西路一段63號,121.519127,25.026602
