index,座落,棟及號,建案名稱,總價,交易日期,單價,總面積,主建物占比,型態,樓別/棟高,交易標的,建物格局,車位總價,主要用途,主要建材,解約情形,交易明細,功能,備註,
0,萬華區興義街17號,C號,城西蒔光,2910,113/06/30,75.5,45.77,58.63,bt05,12/15,3-1-3土3建1車1,3房2廳2衛,265,住商用,鋼筋混凝土造,,明細加入比較,  Line 建坪單價計算,,
1,松山區吉祥里南京東路五段,A1-4F號,鐫萃,6923,113/06/30,160,43.27,59.12,bt05,4/24,4-1-4土4建1車0,2房2廳2衛,,住家用,鋼骨造,,明細加入比較,  Line 建坪單價計算,,
2,松山區八德路四段５９９號,D-13F號,松捷樂,1845,113/06/30,105.5,17.48,,btZ,13/13,5-1-5土5建1車0,,,住家用,鋼筋混凝土造,,明細加入比較,  Line,,
3,北投區建民里承德路六段,E-04F號,士科潤山,3066,113/06/30,114.7,26.73,54.45,bt05,4/18,1-1-1土1建1車0,2房2廳2衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
4,信義區基隆路二段２３號旁,F-9F號,華誼信義-閱翠,2939,113/06/30,173.1,16.98,55.62,bt05,9/24,19-1-19土19建1車0,1房1廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
5,北投區雙全街8號,A6號,品嘉-箴品序,2336,113/06/30,87.5,26.7,59.32,bt05,17/18,5-1-5土5建1車0,2房2廳1衛,,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
6,北投區雙全街8號,A7號,品嘉-箴品序,1497,113/06/30,82.5,18.14,56.11,bt05,11/18,5-1-5土5建1車0,1房1廳1衛,,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
7,南港區三重里南港路一段20之1號,A棟A5-12F號,國協天玥,3087,113/06/30,134,23.04,60.58,bt05,12/18,41-1-41土41建1車0,2房2廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
8,中山區長春路285號,A5-13F號,恆合鈺璽,4360,113/06/30,132.8,35.49,53.47,bt05,13/15,20-1-20土20建1車1,2房2廳1衛,230,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
9,大安區樂業街94巷,B棟B2-15F號,全坤御峰,6108,113/06/30,138.3,51.7,61.46,bt05,15/16,28-1-28土28建1車1,3房2廳2衛,340,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
