p_name,Address,Response_Address,x,y,dist_MRT,station
30創富,臺北市萬華區菜園里12鄰康定路84號,臺北市萬華區菜園里12鄰康定路84號,121.50223,25.041989,472.65123600094535,龍山寺Longshan Temple
55TIMELESS,臺北市信義區安康里9鄰信義路五段57號,臺北市信義區安康里9鄰信義路五段57號,121.569432,25.033321,32.7625228771529,象山Xiangshan
BR4,臺北士林區舊佳里文林路584號,臺北市士林區舊佳里22鄰文林路582號,121.523874,25.098205,320.21639528604925,芝山Zhishan
ForestPark吉美富徠,臺北市內湖區江南街65巷25號之1,臺北市內湖區港墘里5鄰江南街65巷25之1號,121.578142,25.077096,380.7819736731109,港墘Gangqian
H24雲端,臺北市中山區正守里12鄰長安東路一段52巷10號,臺北市中山區正守里12鄰長安東路一段52巷10號,121.527835,25.047751,541.93186150214,善導寺Shandao Temple
JR羅斯福,臺北市文山區景行里22鄰景後街143巷12號,臺北市文山區景行里22鄰景後街143巷12號,121.542614,24.990286,247.87727150133435,景美Jingmei
LIVINGMORE,臺北市大安區仁愛里1鄰復興南路一段175號,臺北市大安區仁愛里1鄰復興南路一段175號,121.54398,25.040911,48.01527335068836,忠孝復興Zhongxiao Fuxing
LivingMore,臺北市大安區龍生里11鄰瑞安街155巷11號,臺北市大安區龍生里11鄰瑞安街155巷11號,121.539548,25.026071,432.44847733134617,科技大樓Technology Building
MAGNOLIA木蘭居B座,臺北市北投區八仙里4鄰中央南路二段14之2號,臺北市北投區八仙里4鄰中央南路二段14之2號,121.50022,25.126902,130.4016342283066,奇岩Qiyan
MAGNOLIA木蘭居C座,臺北市文山區萬盛街89號,臺北市文山區萬盛里12鄰萬盛街89號,121.542631,25.005586,453.4470463305058,萬隆Wanlong
ONE+,臺北市中山區中山里4鄰中山北路二段59巷1號,臺北市中山區中山里4鄰中山北路二段59巷1號,121.523176,25.055916,303.9668484991047,雙連Shuanglian
THEGREENHOUSE,臺北市中山區中山里4鄰中山北路二段59巷9號,臺北市中山區中山里4鄰中山北路二段59巷9號,121.523621,25.055907,350.7270084247091,雙連Shuanglian
TWINLINE,臺北市北投區永欣里6鄰天母西路117巷32弄5號,臺北市北投區永欣里6鄰天母西路117巷32弄5號,121.524705,25.120536,905.2377193632666,明德Mingde
Vigorlin東門,臺北市北投區永欣里6鄰天母西路117巷32弄8號,臺北市北投區永欣里6鄰天母西路117巷32弄8號,121.524272,25.120018,849.7616135626953,明德Mingde
一心居,臺北市內湖區明湖里10鄰康寧路三段187號,臺北市內湖區明湖里10鄰康寧路三段187號,121.611974,25.06997,174.73403229741214,東湖Donghu
一方璞真,臺北市中山區中山北路三段53號,臺北市中山區圓山里13鄰中山北路三段53號,121.522891,25.067716,373.87294906658735,圓山Yuanshan
一樹巷,臺北市中山區力行里19鄰遼寧街105巷36號,臺北市中山區力行里19鄰遼寧街105巷36號,121.543064,25.051079,127.6381440362738,南京復興Nanjing Fuxing
一豐洲,臺北市中正區文祥里14鄰信義路二段79巷32號,臺北市中正區文祥里14鄰信義路二段79巷32號,121.526984,25.035976,231.0988502759107,東門Dongmen
一青。悠,臺北市北投區中和里2鄰中和街391巷2弄9號,臺北市北投區中和里2鄰中和街391巷2弄9號,121.497879,25.142645,614.4887132294305,新北投Xinbeitou
一頁城中,臺北市松山區中正里8鄰敦化北路4巷25弄18號,臺北市松山區中正里8鄰敦化北路4巷25弄18號,121.546289,25.049724,294.8749168506963,南京復興Nanjing Fuxing
三創爵鼎,臺北市北投區中和里10鄰大屯路7巷11之1號,臺北市北投區中和里10鄰大屯路7巷11之1號,121.499598,25.142325,452.1458831425176,新北投Xinbeitou
三悉-磊若,臺北市北投區奇岩里8鄰奇岩路210號,臺北市北投區奇岩里8鄰奇岩路210號,121.508644,25.128347,509.34616637054273,唭哩岸Qilian
三悉-風昀,臺北市北投區溫泉里19鄰溫泉路68之10號,臺北市北投區溫泉里19鄰溫泉路68之10號,121.504909,25.134969,288.09839972296464,新北投Xinbeitou
三發景悅,臺北市中正區光復里8鄰衡陽路69號,臺北市中正區光復里8鄰衡陽路69號,121.511767,25.042377,385.54018321194474,西門Ximen
三磐舍紫II,臺北市大安區民輝里19鄰市民大道三段118號,臺北市大安區民輝里19鄰市民大道三段118號,121.533959,25.044947,190.8917631350106,忠孝新生Zhongxiao Xinsheng
三豐AIT,臺北市中山區樂群二路66號,臺北市中山區成功里14鄰樂群二路66號,121.554073,25.07973,342.6318977825401,劍南路Jiannan Rd.
三豐長安匯,臺北市中山區樂群二路66號,臺北市中山區成功里14鄰樂群二路66號,121.554073,25.07973,342.6318977825401,劍南路Jiannan Rd.
三豐雲迪,臺北市北投區奇岩路237號,臺北市北投區奇岩里22鄰奇岩路237號,121.509946,25.127903,579.3654960977229,唭哩岸Qilian
上城若水,臺北市士林區社中街335號,臺北市士林區永倫里4鄰社中街335號,121.504414,25.092191,1520.5929959844366,三重國小Sanchong Elementary School
世心玉,臺北市內湖區紫雲里3鄰康寧路一段179號,臺北市內湖區紫雲里3鄰康寧路一段179號,121.595763,25.078519,335.3120715073292,內湖Neihu
世田安,臺北市大同區大有里18鄰民生西路367號,臺北市大同區大有里18鄰民生西路367號,121.510486,25.057005,434.32461816918425,北門Beimen
世界明珠,臺北市大同區大有里19鄰歸綏街208之1號,臺北市大同區大有里19鄰歸綏街208之1號,121.511036,25.058192,348.8323858509449,大橋頭Daqiaotou
世豐是山,臺北市中山區正守里1鄰市民大道三段5號,臺北市中山區正守里1鄰市民大道三段5號,121.53127,25.04613,284.98809834586274,忠孝新生Zhongxiao Xinsheng
世達懿居,臺北市中山區正守里10鄰長安東路一段24之3號,臺北市中山區正守里10鄰長安東路一段24之3號,121.525688,25.048781,359.16452303207524,善導寺Shandao Temple
中國開發內湖洲子街廠辦大樓案,臺北市中山區朱園里15鄰松江路45巷10號,臺北市中山區朱園里15鄰松江路45巷10號,121.533591,25.047889,246.7094982132409,松江南京Songjiang Nanjing
中山Q1,臺北市南港區東明里2鄰南港路二段59號,臺北市南港區東明里2鄰南港路二段59號,121.598849,25.053477,644.9735336277631,昆陽Kunyang
中山TED,臺北市北投區磺港路102-110號,臺北市北投區清江里5鄰磺港路102號,121.503496,25.130416,388.56652559575264,奇岩Qiyan
中山世紀,臺北市中正區和平西路一段63號,臺北市中正區南福里10鄰和平西路一段63號,121.519127,25.026602,368.69126155138486,中正紀念堂Chiang Kai-Shek Memorial Hall
中山北美,臺北市內湖區洲子街176號,臺北市內湖區西湖里13鄰洲子街176號,121.567468,25.081257,58.3457039702226,西湖Xihu
中山官邸,臺北市中山區恆安里7鄰民權東路一段61之1號,臺北市中山區恆安里7鄰民權東路一段61之1號,121.525052,25.062902,152.48378844833584,中山國小Zhongshan Elementary School
中山富寓,臺北市中山區民安里11鄰中山北路二段24之3號,臺北市中山區民安里11鄰中山北路二段24之3號,121.522358,25.053919,230.07898683670902,中山Zhongshan
中山富御,臺北市中山區中山北路二段123號,臺北市中山區聚葉里1鄰中山北路二段123號,121.523172,25.061208,345.2862318639506,雙連Shuanglian
中山晶綻,臺北市士林區福志里19鄰中山北路五段698巷18號,臺北市士林區福志里19鄰中山北路五段698巷18號,121.52831,25.097449,324.4752179588935,士林Shilin
中山松悅,臺北市中山區恆安里2鄰民權東路一段15號,臺北市中山區恆安里2鄰民權東路一段15號,121.523436,25.06298,332.1109975938572,中山國小Zhongshan Elementary School
中山水美,臺北市中山區新生里14鄰新生北路二段149巷32號,臺北市中山區新生里14鄰新生北路二段149巷32號,121.528676,25.061997,254.21809440131244,中山國小Zhongshan Elementary School
